at_id,at_account_id,at_title_id,at_queue_date,at_remove_queued_date,at_rating
1,10,7NG6,2/1/2013,2/2/2013,5
2,5,BVNdO,2/1/2013,2/2/2013,2
3,17,knkj,2/1/2013,2/2/2013,3
4,22,ApNwh,2/2/2013,,1
5,24,ApQhl,2/3/2013,,4
6,19,7tEu,2/1/2013,2/2/2013,5
7,12,knkj,2/2/2013,,1
8,16,5prm,2/1/2013,2/2/2013,4
9,8,ApO1H,2/2/2013,,3
10,9,ApQrJ,2/2/2013,,2
11,23,BVV1C,2/3/2013,,5
12,4,BVODD,2/1/2013,2/2/2013,4
13,6,BVUNd,2/2/2013,,2
14,13,8XnPX,2/1/2013,2/2/2013,1
15,25,BVUOH,2/2/2013,,3
16,21,7wcf7,2/2/2013,,1
17,15,7wcf7,2/2/2013,,3
18,1,13kZA,2/1/2013,2/2/2013,5
19,7,7aOJ,2/2/2013,,4
20,14,BVUOH,2/3/2013,,2
21,2,ApRgv,1/3/2013,1/13/2013,1
22,18,BVUPT,1/12/2013,1/17/2013,4
23,11,BVJOs,1/2/2013,1/3/2013,5
24,3,ApTxo,1/4/2013,1/5/2013,3
25,20,ApOET,1/14/2013,1/17/2013,2
26,10,caBMu,1/14/2013,1/16/2013,3
27,5,8WhR5,1/8/2013,1/15/2013,4
28,17,BVQHd,1/3/2013,1/11/2013,1
29,22,BVoFc,1/7/2013,1/10/2013,2
30,24,ApLNw,1/3/2013,1/4/2013,5
31,19,BVRHp,1/8/2013,1/12/2013,3
32,12,cZjp8,1/7/2013,1/11/2013,4
33,16,BVcw8,1/1/2013,1/10/2013,5
34,8,ApRL7,1/4/2013,1/12/2013,1
35,9,kuo9,1/3/2013,1/6/2013,2
36,23,bticB,1/14/2013,1/24/2013,5
37,4,cZfkA,1/8/2013,1/18/2013,3
38,6,ApMEG,1/7/2013,1/16/2013,1
39,13,BVhVI,1/1/2013,1/5/2013,4
40,25,BVrK4,1/5/2013,1/14/2013,2
41,21,ApMQ4,1/14/2013,1/15/2013,5
42,15,BVMXl,1/7/2013,1/14/2013,3
43,1,ApLz0,1/6/2013,1/16/2013,1
44,7,8G5uY,1/13/2013,1/20/2013,4
45,14,ApTRQ,1/7/2013,1/17/2013,2
46,2,8cktE,1/7/2013,1/14/2013,1
47,18,BVkX4,1/14/2013,1/21/2013,5
48,11,BVKJY,1/3/2013,1/9/2013,3
49,3,ApSMM,1/14/2013,1/20/2013,4
50,20,ApUg5,1/12/2013,1/18/2013,2
51,10,ApT9L,1/9/2013,1/10/2013,1
52,5,BViuQ,1/1/2013,1/6/2013,3
53,17,BVOMp,1/14/2013,1/22/2013,5
54,22,ApUIu,1/9/2013,1/15/2013,4
55,24,ApSqx,1/12/2013,1/21/2013,2
56,19,BVpEj,1/15/2013,1/25/2013,3
57,12,BVWgf,1/7/2013,1/13/2013,4
58,16,BVJ97,1/13/2013,1/22/2013,1
59,8,ApTVZ,1/11/2013,1/16/2013,5
60,9,btqLr,1/14/2013,1/21/2013,2
61,23,ApMHT,1/13/2013,1/20/2013,1
62,4,ApSlt,1/4/2013,1/8/2013,4
63,6,63Tb,1/12/2013,1/13/2013,3
64,13,ApR8Q,1/11/2013,1/21/2013,5
65,25,BVLcZ,1/5/2013,1/7/2013,2
66,21,5Xoy,1/1/2013,1/8/2013,1
67,15,BVJAd,1/10/2013,1/18/2013,4
68,1,BVYUw,1/5/2013,1/15/2013,3
69,7,ApU4Q,1/15/2013,1/17/2013,2
70,14,ApRdG,1/7/2013,1/13/2013,5
71,2,ApUeo,1/1/2010,1/5/2010,4
72,18,btpgV,1/1/2010,1/3/2010,3
73,11,BVUIb,1/1/2010,1/2/2010,1
74,3,ApMQt,1/4/2010,1/5/2010,2
75,20,ApR0A,1/4/2010,1/5/2010,5
76,10,ApM3y,1/4/2010,1/6/2010,4
77,5,BVYGF,1/5/2010,1/11/2010,3
78,17,BVVwE,1/5/2010,1/7/2010,2
79,22,ApT15,1/5/2010,1/6/2010,1
80,24,ApUTp,1/6/2010,1/7/2010,5
81,19,7ksGD,1/6/2010,1/10/2010,3
82,12,BVUh3,1/8/2010,1/13/2010,1
83,16,5GYj,1/8/2010,1/11/2010,4
84,8,BVOOU,1/9/2010,1/14/2010,2
85,9,70tc,1/9/2010,1/10/2010,5
86,23,cZsYR,1/10/2010,1/15/2010,3
87,4,ApLMY,1/10/2010,1/13/2010,2
88,6,8Whad,1/10/2010,1/11/2010,1
89,13,BVhQ9,1/11/2010,1/17/2010,4
90,25,ApRCj,1/11/2010,1/15/2010,5
91,21,BVNPN,1/11/2010,1/12/2010,1
92,15,BVKiC,1/11/2010,1/15/2010,4
93,1,5n6D,1/12/2010,1/14/2010,2
94,7,ApRz1,1/12/2010,1/14/2010,3
95,14,BVK8G,1/12/2010,1/13/2010,5
96,2,BVU8L,1/16/2010,1/21/2010,1
97,18,BVJ2y,1/16/2010,1/17/2010,4
98,11,ApQgM,1/16/2010,1/22/2010,3
99,3,BViDj,1/16/2010,1/18/2010,2
100,20,70np,1/17/2010,1/22/2010,5
101,10,BVkhn,1/17/2010,1/22/2010,4
102,5,ApS7q,1/17/2010,1/20/2010,2
103,17,8FvIA,1/17/2010,1/20/2010,3
104,22,BVnWX,1/17/2010,1/23/2010,5
105,24,ApMEJ,1/19/2010,1/21/2010,1
106,19,ApRWl,1/19/2010,1/21/2010,4
107,12,cZwKw,1/19/2010,1/25/2010,3
108,16,BVJ5Q,1/19/2010,1/22/2010,1
109,8,ApUPB,1/19/2010,1/25/2010,2
110,9,6Y77,1/20/2010,1/23/2010,5
111,23,BVTNT,1/20/2010,1/21/2010,3
112,4,ca4aU,1/21/2010,1/26/2010,4
113,6,BVkd5,1/21/2010,1/26/2010,2
114,13,BVLgH,1/21/2010,1/25/2010,1
115,25,BVpQW,1/23/2010,1/28/2010,5
116,21,7va1,1/23/2010,1/26/2010,2
117,15,7klM4,1/23/2010,1/26/2010,3
118,1,BVOk9,1/24/2010,1/27/2010,4
119,7,BVn67,1/24/2010,1/26/2010,1
120,14,7exs,1/25/2010,1/26/2010,5
121,2,cZuEL,1/25/2010,1/27/2010,2
122,18,BVwkm,1/25/2010,1/27/2010,3
123,11,cZfof,1/26/2010,1/29/2010,4
124,3,Apr-79,1/26/2010,1/27/2010,1
125,20,BVO6I,1/26/2010,1/29/2010,5
126,10,ApQiP,1/26/2010,2/1/2010,4
127,5,77df,1/26/2010,1/28/2010,2
128,17,5zhF,1/27/2010,1/29/2010,3
129,22,BVoom,1/27/2010,2/2/2010,1
130,24,ApQX3,1/27/2010,1/30/2010,5
131,19,8ZR3V,1/27/2010,1/28/2010,4
132,12,BVl1x,1/27/2010,1/29/2010,3
133,16,BVPMK,1/29/2010,1/30/2010,2
134,8,ApQt0,1/29/2010,2/4/2010,1
