title_id,title_name,title_type,title_synopsis,title_avg_rating,title_release_year,title_runtime,title_rating,title_bluray_available,title_date_modified
13kag,Meet Joe Black,Movie,"When the grim reaper comes to collect the soul of megamogul Bill Parrish; he arrives with a proposition: Host him for a ""vacation"" among the living in trade for a few more days of existence.",3.6,1998,10860,PG-13,0,2010-01-13 08:45:08
13kaI,Vampires,Movie,Jack Crow leads a team of vampire hunters in director John Carpenter's Western-themed movie about bloodthirsty ghouls. Jack and his sidekick; destroy a nest of vampires; but as they head off to celebrate; they're set upon by master vampire Jan Valek.,3.3,1998,6420,R,0,2010-11-01 19:10:19
13kaw,Eyes Wide Shut,Movie,Director Stanley Kubrick's final film dishes up a chillingly distant examination of carnal desire and obsession ignited by an argument over fidelity between Dr. Bill Hartford and his wife; which sends the physician reeling into the Manhattan night.,2.9,1999,9540,R,1,2010-11-03 22:21:23
13kbB,U.S. Marshals,Movie,Convicted murderer Mark Sheridan is on his way to prison accompanied by stalwart U.S. Marshal Samuel Gerard when their jet nose-dives into the Louisiana bayou; giving Sheridan the ideal opportunity to escape.,3.7,1998,7860,PG-13,0,2010-06-14 21:05:56
13kbn,The Mighty,Movie,A rare physical disorder prevents Kevin; a brilliant seventh-grader who lives in the world of his imagination; from living a normal life. When Kevin crosses paths with the learning-disabled but very large and strong Max; they share a connection.,3.8,1998,6000,PG-13,0,2009-12-24 01:35:06
13kbQ,Dark City,Movie,John Murdoch awakens in a hotel room to find he's wanted for a series of murders he doesn't remember committing. But then he encounters the Strangers; a group of ominous beings with a collective memory who can stop time and alter physical reality.,3.6,1998,6000,R,0,2010-10-17 07:24:02
13kbW,B Monkey,Movie,One lonely night at a London bar; Alan spies the raven-haired beauty Beatrice arguing with two friends. Beatrice quickly befriends Alan and leads him through all kinds of new; interesting and dark situations.,2.9,1999,5520,R,0,2010-05-01 07:14:05
13kcD,The Horse Whisperer,Movie,"After a riding accident; New Yorker Annie MacLean takes her injured daughter; Grace; and a frightened; wounded horse to Montana. They're looking for Tom Booker; a man with the unique ability to ""talk"" to horses.",3.6,1998,10080,PG-13,0,2010-07-20 19:13:50
13kZ3,Armageddon,Movie,As a massive asteroid hurtles toward Earth; NASA head honcho Dan Truman hatches a plan to split the deadly rock in two before it annihilates the entire planet; calling on Harry Stamper -- the world's finest oil driller -- to head up the mission.,3.7,1998,9180,PG-13,1,2010-08-23 22:58:01
13kZA,Pleasantville,Movie,"Geeky teenager David and his popular twin sister; Jennifer; get sucked into the black-and-white world of a 1950s TV sitcom called ""Pleasantville;"" and find a world where everything is peachy keen all the time.",3.5,1998,7440,PG-13,0,2010-09-16 11:12:38
13kZd,The Red Violin,Movie,"When the long-lost ""red violin;"" a rare instrument crafted during the Italian Renaissance; shows up at a modern auction; it reveals its mysterious history -- and the lives of its previous owners -- in a series of flashbacks spanning three centuries.",3.8,1998,7800,R,0,2010-04-13 00:34:12
13kZs,Apt Pupil,Movie,Kurt Dussander has kept his dark past a secret for many years. But when Todd Bowden recognizes him as a Nazi war criminal pictured in a history book; Todd confronts Dussander and blackmails him into revealing details about the concentration camps.,3.2,1998,6660,R,0,2010-01-28 00:23:12
13kZV,Velvet Goldmine,Movie,A decade after British glam-rocker Brian Slade fakes his assassination on stage and disappears from view; tabloid journalist Arthur Stuart is dispatched to deconstruct the legend of the bisexual pop star.,3.3,1998,7620,R,0,2010-07-30 23:05:04
1CaCp,Erotique,Movie,A quartet of international filmmakers pools their talents for this steamy anthology of short films.,2.2,1993,7200,NR,0,2009-10-07 05:06:22
1CZdN,Sesame Street: Elmo Saves Christmas,Movie,"After helping to dislodge Santa Claus from a chimney; <a href=""http://www.netflix.com/RoleDisplay/Elmo/20054255"">Elmo</a> gets an enchanted snow globe to make three special wishes. He decides that every day will be Christmas -- his favorite day of the year. But with help from Lightning; a reindeer in training; <a href=""http://www.netflix.com/RoleDisplay/Elmo/20054255"">Elmo</a> learns that too much of a good thing isn't the best idea. The film includes cameos from the ""Sesame Street"" cast and appearances by <a href=""http://www.netflix.com/RoleDisplay/Maya_Angelou/143924"">Maya Angelou</a>; <a href=""http://www.netflix.com/RoleDisplay/Charles_Durning/26584"">Charles Durning</a> and <a href=""http://www.netflix.com/RoleDisplay/Harvey_Fierstein/29939"">Harvey Fierstein</a>.",3.3,1997,3600,NR,0,2010-09-17 15:40:47
1CZuz,Who Shot Pat?,Movie,After a random gunshot wounds one of their friends; a group of seniors at a Brooklyn vocational high school bands together; determined to find the shooter in this comic coming-of-age tale set in the 1950s.,2.2,1990,6120,R,0,2010-08-30 19:24:32
1CZva,The Best of the Blues Brothers,Movie,"Elwood Blues (<a href=""http://www.netflix.com/RoleDisplay/Dan_Aykroyd/4025"">Dan Aykroyd</a>) tells the story behind The Blues Brothers; one of the best-loved acts from ""Saturday Night Live;"" in this anthology of their most memorable performances. Features Elwood and Jake Blues (<a href=""http://www.netflix.com/RoleDisplay/John_Belushi/6896"">John Belushi</a>) at their fedora-wearing best; including their first infamous ""Killer Bees"" performance on SNL; their No. 1 hit ""Soul Man;"" ""Rubber Biscuit;"" footage of their 1979 concert tour and more.",3.7,1993,0,NR,0,2009-10-07 05:06:22
1CZz8,100 Years of Horror,Movie,From Frankenstein to Freddie Kruger; Hollywood's horror genre is honored in this documentary hosted by veteran spook star Christopher Lee.,2.7,1996,7200,NR,0,2010-02-19 02:08:46
1D1cv,Léon: The Professional,Movie,"Léon; the top hit man in New York; has earned a rep as an effective ""cleaner."" But when his next-door neighbors are wiped out by a loose-cannon DEA agent; he becomes the unwilling custodian of 12-year-old Mathilda.",4.1,1994,7980,R,1,2010-09-13 19:20:31
1DmBM,Body Armor,Movie,Five of Hollywood's top stuntmen and an action-packed story explode on screen in a super-charged free-for-all with go-for-broke stunts! Jeff Conway is the best agent in the business... he's fast; he's slick; and he's equipped to get the job done.,2.4,1996,5700,R,0,2010-07-27 08:25:56
1EBTK,Little Shop of Horrors,Movie,Down-on-his-luck plant-shop employee Seymour thinks he's got it made when he develops a new Venus flytrap hybrid. Not so fast; Seymour: Turns out; the plant has not only a voice but also a voracious appetite... for human flesh!,3.5,1960,4200,NR,0,2010-06-14 21:05:56
1EGk4,Zero Effect,Movie,Steve Arlo and Daryl Zero have the art of private investigation covered from A to Z; even with their newest case: finding a shady tycoon's missing keys. But when love zeroes in on Zero; the world's best detective suddenly hasn't got a clue.,3.4,1998,6960,R,0,2010-08-28 07:07:23
1EGkM,Palmetto,Movie,A set-up has landed reporter Harry Barber in jail for exposing corruption in City Hall in Palmetto; Fla. After he's released; Barber is quickly seduced by Mrs. Malroux as well as her fake kidnapping scheme.,3,1998,6780,R,0,2010-01-13 08:45:08
1EGp0,Deep Rising,Movie,Director Stephen Sommers's early monster movie adds terror to the high seas as John Finnegan; Simon Canton and their crew attempt to hijack a luxury liner -- but who will likely become lunch instead.,3.1,1998,6420,R,0,2010-11-12 18:07:58
1EGpT,Dangerous Beauty,Movie,Prevented from marrying her nobleman lover because of her commoner status; real-life historical heroine Veronica Franco is left with two choices: join a convent or become a courtesan. Following in mother's footsteps; she chooses the latter.,3.8,1998,6720,R,0,2010-11-11 17:31:39
1EGsp,A Price Above Rubies,Movie,"Married to a strictly observant Jew; a young mother craves fewer rules and more passion. Along comes her jeweler brother-in-law; who sees her anguish and values her at ""a price above rubies;"" giving her a job and much more.",3.2,1998,7020,R,0,2010-07-17 00:48:40
1EGsy,Monument Ave.,Movie,"As a car thief working for Irish-American gangsters in Boston; Bobby (<a href=""http://www.netflix.com/RoleDisplay/Denis_Leary/20000960"">Denis Leary</a>) knows where his loyalties lie. But when his visiting cousin from Dublin (<a href=""http://www.netflix.com/RoleDisplay/Jason_Barry/159987"">Jason Barry</a>) becomes a victim of gang violence and one of his best friends is killed; Bobby finds that maintaining his family honor could bring about tragic consequences. <a href=""http://www.netflix.com/RoleDisplay/Ted_Demme/23792"">Ted Demme</a> (Blow; Life) directed this gritty; downbeat drama in which <a href=""http://www.netflix.com/RoleDisplay/Billy_Crudup/184707"">Billy Crudup</a> also has a featured role.",2.9,1998,5580,R,0,2010-08-21 08:27:16
1EGtP,Buffalo '66,Movie,Writer-director Vincent Gallo stars as Billy Brown; who -- fresh from a five-year stint in stir -- heads home to Buffalo; N.Y.; to visit his kin. Eager to impress his insouciant parents; Billy kidnaps buxom Layla and makes her pose as his wife.,3.5,1998,6600,R,0,2009-10-07 05:06:22
1EGty,Digging to China,Movie,"In 1960s North Carolina; a precocious 10-year-old girl has fantasies of escaping her unhappy home; a motel run by her mother and ""sister."" When she befriends a mentally disabled man on his way to an institution; their close bond stirs up trouble.",3.4,1998,6180,PG,0,2010-07-27 15:35:18
